"id","name","image_url"
"5329","Epson 112 Ecotank Black Pigment Ink Bottle","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-112-Ecotank-Black-Pigment-Ink-Bottle.webp"
"5328","Epson 112 Ecotank Cym Ink Bottles Each","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-112-Ecotank-Cym-Ink-Bottles-Each.webp"
"5327","Epson 664 Black Ink Bottle 70ML (T6641)","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-664-Black-Ink-Bottle-70ML-T6641.webp"
"5326","Epson 664 Cyan Ink Bottle 70ML (T6642)","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-664-Cyan-Ink-Bottle-70ML-T6642.webp"
"4445","Epson 664 Ink Bottle","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Epson-664-Ink.png"
"5325","Epson 664 Magneta Ink Bottle 70ML (T6643)","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-664-Magneta-Ink-Bottle-70ML-T6643.webp"
"5324","Epson 664 Yellow Ink Bottle 70ML (T6644)","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-664-Yellow-Ink-Bottle-70ML-T6644.webp"
"5323","Epson 664/673 Refill Ink Compatible Ink Each","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-664-673-Refill-Ink-Compatible-Ink-Each.webp"
"5322","Epson 673 Black Ink Bottle 70ML","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-673-Black-Ink-Bottle-70ML.webp"
"5321","Epson 673 Cyan Ink Bottle 70ML","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-673-Cyan-Ink-Bottle-70ML.webp"
"5320","Epson 673 Light Magenta Ink Bottle 70ML (T6736)","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-673-Light-Magenta-Ink-Bottle-70ML-T6736.webp"
"5319","Epson 673 Magenta Ink Bottle 70ML (T6733)","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-673-Magenta-Ink-Bottle-70ML-T6733.webp"
"3420","Epson CO-FH02 Projector","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/epson-co-projector.png"
"3423","Epson EB-FH06 Projector","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/epson-eb-Projector.png"
"3414","Epson EB-X49 Projector","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/epson-eb-Projector.png"
"3433","Epson EH-TW6150 Projector","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/epson-eh-projector.png"
"3425","Epson EH-TW6250 Projector","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/epson-eh-projector.png"
"3580","Epson ERC-31 Ribbon Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/Epson-ERC-31-Ribbon.png"
"3578","Epson ERC-38 B Ribbon Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/Epson-ERC-38-B-Ribbon.png"
"4511","Epson Ecotank L1800 Single Function Inktank A3 Photo Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Epson-L1800-Printer.png"
"4496","Epson Ecotank L3210 A4 All-In-One Ink Tank Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Epson-L3210-Printer.png"
"4499","Epson Ecotank L3250 A4 Wi-Fi All-In-One Ink Tank Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Epson-L3250-Printer.png"
"4502","Epson Ecotank L4260 A4 Wi-Fi Duplex All-In-One Ink Tank Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Epson-L4260-Printer.png"
"4493","Epson Ecotank L5290 A4 Wi-Fi All-In-One Ink Tank Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Epson-L5290-Printer.png"
"4505","Epson Ecotank L6490 A4 Ink Tank Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Epson-L6490-Printer.png"
"4508","Epson Ecotank L6570 Wi-Fi Duplex Multifunction Adf Inktank Office Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Epson-L6570-Printer.png"
"4514","Epson L850 Photo All-In-One Ink Tank Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Epson-L850-Printer.png"
"5317","Epson LQ-2190 Ribbon Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-LQ-2190-Ribbon-Cartridge.webp"
"5316","Epson LQ-350 Generic Ribbon Black Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-LQ-350-Generic-Ribbon-Black-Cartridge.webp"
"5315","Epson LQ-350 Original Ribbon Black Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-LQ-350-Original-Ribbon-Black-Cartridge.webp"
"3576","Epson LQ-590 Ribbon Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/Epson-LQ-590-Ribbon.png"
"5314","Epson LQ-590/690 Generic Ribbon Black Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-LQ-590-690-Generic-Ribbon-Black-Cartridge.webp"
"5313","Epson LQ-590/690 Genuine Ribbon Black Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-LQ-590-690-Genuine-Ribbon-Black-Cartridge.webp"
"3574","Epson LQ-680 Ribbon Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/Epson-LQ-680-Ribbon.png"
"3569","Epson LQ-690 Ribbon Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/Epson-Ribbon-LQ-690.png"
"5312","Epson LX-300/350 Ribbon Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-LX-300-350-Ribbon-Cartridge-1.webp"
"4517","Epson LX-350 Impact Dot Matrix Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Epson-LX-350-Printer.png"
"3571","Epson LX-350 Ribbon Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/Epson-LX-300-Ribbon.png"
"3434","Epson Perfection V39 Scanner","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/epson-v39-scanner.png"
"5311","Epson Ribbon DFX9000 Black Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-Ribbon-DFX9000-Black-Cartridge.webp"
"5310","Epson Ribbon ERC38/39 Original For TM300A Black","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-Ribbon-ERC38-39-Original-For-TM300A-Black.webp"
"5309","Epson Ribbon LQ-2170/2180/2190 Black","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-Ribbon-LQ-2170-2180-2190-Black.webp"
"5308","Epson Ribbons LX-350 Black Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-Ribbons-LX-350-Black-Cartridge.webp"
"5318","Epson T6735 Light Cyan Ink Bottle 70ML","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-T6735-Light-Cyan-Ink-Bottle-70ML.webp"
"5283","Royal Premium Epson 103 Ink CMYK","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Royal-Premium-Epson-103-Ink-CMYK.webp"
"4599","HP 05A Black Original Laserjet Toner Cartridge (CE505A)","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/07/HP-05A-Black-Original-LaserJet-Toner-Cartridge.png"
"5185","HP 05A Black Toner Laserjet (CE505A)","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/HP-05A-Black-Toner-Laserjet-CE505A.webp"
"5184","HP 103A Black Neverstop Toner Reload Kit (1103A)","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/HP-103A-Black-Neverstop-Toner-Reload-Kit-1103A.webp"
"5183","HP 104A Black Laser Imaging Drum (W1104A)","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/HP-104A-Black-Laser-Imaging-Drum-W1104A.webp"
